fecha,donaciones,defunciones,atenciones,dato_incompleto
2022-01-31,925,135.0,12036.0,0
2022-02-28,630,111.0,11278.0,0
2022-03-31,801,89.0,14747.0,0
2022-04-30,862,110.0,13374.0,0
2022-05-31,690,114.0,15518.0,0
2022-06-30,590,116.0,17090.0,0
2022-07-31,763,103.0,15974.0,0
2022-08-31,748,112.0,19619.0,0
2022-09-30,602,91.0,16367.0,0
2022-10-31,670,89.0,14533.0,0
2022-11-30,748,66.0,14292.0,0
2022-12-31,666,89.0,16253.0,0
2023-01-31,542,94.0,9743.0,0
2023-02-28,536,78.0,11691.0,0
2023-03-31,443,90.0,11714.0,0
2023-04-30,556,98.0,9265.0,0
2023-05-31,27,101.0,9748.0,1
2023-06-30,87,85.0,9535.0,0
2023-07-31,38,89.0,8647.0,1
2023-08-31,101,87.0,8282.0,0
2023-09-30,74,85.0,9289.0,0
2023-10-31,123,101.0,1356.0,0
2023-11-30,68,81.0,8556.0,0
2023-12-31,61,88.0,8291.0,0
2024-01-31,0,83.0,3010.0,1
2024-02-29,0,68.0,3068.0,1
2024-03-31,0,97.0,2566.0,1
2024-04-30,0,94.0,3408.0,1
2024-05-31,0,91.0,2727.0,1
2024-06-30,369,105.0,2498.0,0
2024-07-31,504,91.0,3275.0,0
2024-08-31,547,91.0,3561.0,0
2024-09-30,711,95.0,3123.0,0
2024-10-31,519,97.0,3850.0,0
2024-11-30,497,95.0,3364.0,0
2024-12-31,317,113.0,3975.0,0
2025-01-31,430,113.0,3191.0,0
2025-02-28,613,90.0,1758.0,0
2025-03-31,522,98.0,2098.0,0
2025-04-30,484,107.0,2657.0,0
2025-05-31,656,118.0,2356.0,0
2025-06-30,433,101.0,2505.0,0
